Time,CWND,ssthresh
1733150239.00,1,64
1733150239.00,2,64
1733150239.00,3,64
1733150239.00,4,64
1733150239.00,5,64
1733150239.00,6,64
1733150239.00,7,64
1733150239.00,8,64
1733150239.00,9,64
1733150239.00,10,64
1733150239.00,11,64
1733150239.00,12,64
1733150239.00,13,64
1733150239.00,14,64
1733150239.00,15,64
1733150239.00,16,64
1733150239.00,17,64
1733150239.00,18,64
1733150239.00,19,64
1733150239.00,20,64
1733150239.00,21,64
1733150239.00,22,64
1733150239.00,23,64
1733150239.00,24,64
1733150239.00,25,64
1733150239.00,26,64
1733150239.00,27,64
1733150239.00,28,64
1733150239.00,29,64
1733150239.00,30,64
1733150239.00,31,64
1733150239.00,32,64
1733150239.00,33,64
1733150239.00,34,64
1733150239.00,35,64
1733150239.00,36,64
1733150239.00,37,64
1733150239.00,38,64
1733150239.00,39,64
1733150239.00,40,64
1733150239.00,41,64
1733150239.00,42,64
1733150239.00,43,64
1733150239.00,44,64
1733150239.00,45,64
1733150239.00,46,64
1733150239.00,47,64
1733150239.00,48,64
1733150239.00,49,64
1733150239.00,50,64
1733150239.00,51,64
1733150239.00,52,64
1733150239.00,53,64
1733150239.00,54,64
1733150239.00,55,64
1733150239.00,56,64
1733150239.00,57,64
1733150239.00,58,64
1733150239.00,59,64
1733150239.00,60,64
1733150239.00,61,64
1733150239.00,62,64
1733150239.00,63,64
